﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10003645","King's College London","6","88","33.040","2.000","20.920","420,639.938","","667"
"10003678","Kingston University","5","167","50.920","23.700","21.320","159,099.760","1,764","1,111"
"10007768","The University of Lancaster","2","249","155.700","97.800","35.800","314,492.000","2,857","1,097"
"10003854","Leeds Arts University","","","","","","17,793.140","60","20"
"10003861","Leeds Beckett University","3","109","56.232","18.050","19.207","205,305.030","1,490","1,037"
"10007795","The University of Leeds","6","319","119.360","56.310","50.000","569,873.000","2,201","2,346"
"10003863","Leeds Trinity University","1","30","18.000","7.000","6.600","35,220.000","483","44"
"10007796","The University of Leicester","5","307","89.964","40.873","26.604","318,459.362","2,345","2,106"
"10007151","The University of Lincoln","4","57","447.358","239.418","3.232","121,291.317","968","1,097"
"10003956","Liverpool Hope University","3","46","16.270","5.980","2.350","79,214.190","577","177"
"10003957","Liverpool John Moores University","3","44","23.730","6.400","6.870","187,485.170","907","473"
"10003945","The Liverpool Institute for Performing Arts","1","2","0.896","0.605","0.000","13,178.070","26","26"
"10006842","The University of Liverpool","7","219","246.500","83.200","18.600","465,605.000","1,870","713"
"10003958","Liverpool School of Tropical Medicine","1","3","","0.000","0.000","17,897.600","106","120"
"10007162","University of the Arts, London","17","40","8.480","3.489","0.000","170,377.235","124","1,081"
"10007769","London Business School","","","","","","31,436.570","",""
"10007797","University of London (Institutes and activities)","","","","","","155,734.000","",""
"10004048","London Metropolitan University","4","10","2.948","0.860","0.000","117,366.000","59","218"
"10004078","London South Bank University","2","31","7.480","0.360","0.000","148,771.000","118","312"
"10004063","London School of Economics and Political Science","1","43","21.180","11.680","9.500","187,079.610","56","484"
"10007771","London School of Hygiene and Tropical Medicine","","","","","","27,429.000","",""
"10004113","Loughborough University","2","129","121.082","93.590","28.090","304,467.210","3,602","1,942"
"10004180","The Manchester Metropolitan University","2","56","37.440","30.427","74.420","268,758.000","1,433","996"
"10007798","The University of Manchester","7","228","163.830","95.930","45.151","876,621.000","3,782","3,000"
"10004351","Middlesex University","4","44","10.947","10.947","3.200","83,029.609","553","164"
"10007799","Newcastle University","23","263","635.854","28.150","22.344","429,723.800","881","2,056"
"10007138","The University of Northampton","4","56","45.000","33.000","9.000","117,452.000","2,085","414"
"10001282","University of Northumbria at Newcastle","4","64","45.000","25.000","12.000","250,810.040","1,492","863"
"10004775","Norwich University of the Arts","1","18","1.470","0.840","0.000","18,831.000","43","197"
"10007154","University of Nottingham","4","363","229.700","542.870","48.000","646,812.330","4,867","4,907"
"10004797","The Nottingham Trent University","4","112","259.482","240.800","9.214","197,278.000","1,670","981"
"10007773","The Open University","15","82","58.200","31.810","3.230","147,234.000","2,950","733"
"10004930","Oxford Brookes University","5","140","78.600","55.200","13.600","220,755.000","1,533","2,892"
"10007774","The University of Oxford","13","282","66.000","66.000","5.000","661,663.658","1,861","4,000"
"10005127","Arts University Plymouth","6","7","0.940","0.052","0.000","14,570.620","30","25"
"10007801","University of Plymouth","12","93","14.720","9.090","0.000","171,349.600","578","318"
"10007155","The University of Portsmouth","","","","","","221,005.910","",""
"10005337","Queen Margaret University, Edinburgh","1","14","14.273","13.300","0.133","46,596.580","431","800"
"10007775","Queen Mary University of London","4","77","26.292","6.852","13.000","228,749.000","218","1,018"
"10005389","Ravensbourne University London","1","1","0.288","0.288","0.000","13,926.000","6","100"
"10007802","The University of Reading","2","153","130.900","122.800","22.570","195,982.140","1,451","1,881"
"10005500","Robert Gordon University","2","35","56.800","17.000","0.000","117,894.000","1,109","299"
"10007776","Roehampton University","4","","","","","104,144.270","",""
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,246.000","116","140"
"10007835","Royal Academy of Music","4","5","0.459","0.090","0.000","14,022.350","0","60"
"10005545","Royal Agricultural University","3","30","28.895","13.810","13.549","23,012.060","793","75"
"10007777","Royal College of Art","3","12","1.391","0.390","0.000","31,868.100","25","290"
"10007778","Royal College of Music","1","5","","","","12,313.000","0","65"
"10007816","The Royal Central School of Speech and Drama","2","7","0.580","0.580","0.000","8,792.400","2","40"
"10005553","Royal Holloway and Bedford New College","3","102","77.930","68.880","3.340","152,582.980","1,415","723"
"10007837","Royal Northern College of Music","1","1","1.000","1.000","0.000","18,011.840","160","66"
"10007779","The Royal Veterinary College","3","142","244.000","18.000","6.000","48,288.000","784","91"
"10007803","The University of St. Andrews","1","142","53.687","44.550","22.260","257,181.700","1,304","1,869"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","69,327.060","86","409"
"10008026","St Mary's University College","1","3","","0.000","0.000","14,585.000","184",""
"10007843","St Mary's University, Twickenham","3","50","17.230","9.390","10.000","48,354.000","233","247"
"10007156","The University of Salford","4","30","50.000","42.000","20.000","164,462.580","2,390","410"
"10007780","SOAS University of London","2","8","3.825","0.000","0.000","38,254.000","4","40"
"10005700","SRUC","11","336","","","","146,547.360","",""
"10005790","Sheffield Hallam University","3","72","33.290","19.760","8.610","192,275.150","461","680"
"10007157","The University of Sheffield","20","338","110.381","91.360","14.889","535,460.490","",""
"10006022","Solent University","7","53","39.650","21.485","13.730","131,234.000","934","487"
"10007158","The University of Southampton","14","399","99.972","57.895","25.300","437,719.820","3,158","4,130"
"10006299","Staffordshire University","2","89","58.000","52.000","8.000","140,204.000","2,430","533"
"10007804","The University of Stirling","1","42","135.200","133.000","18.100","162,975.520","1,908","533"
"10037449","University of St Mark and St John","1","62","17.790","10.460","5.000","34,443.000","604","98"
"10008010","Stranmillis University College","1","20","","","","34,722.000","",""
"10007805","The University of Strathclyde","5","50","96.530","78.140","18.390","331,764.000","501","322"
"10014001","University of Suffolk","1","12","7.100","7.100","0.000","32,277.000","508","176"
"10007159","The University of Sunderland","9","34","29.720","24.130","0.000","135,823.690","1,717","297"
"10007160","The University of Surrey","3","297","123.301","56.620","20.193","279,503.130","2,015","1,734"
"10007806","The University of Sussex","1","150","94.000","94.000","3.419","247,780.000","1,908","1,853"
"10007855","Swansea University","4","152","75.770","75.770","7.140","250,355.420","1,725","980"
"10007161","Teesside University","3","94","40.510","17.451","22.721","149,764.350","1,662","349"
