﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10003861","Leeds Beckett University","5","1,370","0","0","1,375","80","335","305","615","40","60","15","10","125","1,585","2,955"
"10007795","The University of Leeds","5","3,485","10","0","3,500","185","940","670","1,945","45","125","50","10","460","4,420","7,925"
"10003863","Leeds Trinity University","0","170","0","0","175","20","40","65","100","5","5","0","0","30","270","445"
"10007796","The University of Leicester","5","1,670","5","0","1,675","40","325","720","730","60","65","0","0","330","2,275","3,950"
"10007151","The University of Lincoln","0","1,260","0","0","1,260","65","150","200","350","10","10","5","0","20","805","2,065"
"10003956","Liverpool Hope University","0","320","0","0","320","15","50","55","150","30","5","0","5","95","400","720"
"10003957","Liverpool John Moores University","0","1,485","55","0","1,545","45","190","355","475","5","60","10","5","210","1,350","2,895"
"10003945","The Liverpool Institute for Performing Arts","0","80","0","0","80","5","20","15","30","10","0","5","0","20","105","180"
"10006842","The University of Liverpool","5","2,925","5","0","2,935","125","600","710","1,115","85","185","30","5","390","3,245","6,180"
"10003958","Liverpool School of Tropical Medicine","0","210","0","0","215","15","85","60","95","0","0","0","0","0","260","470"
"10007162","University of the Arts, London","0","2,230","0","0","2,230","50","240","365","645","5","10","20","0","95","1,425","3,655"
"10007769","London Business School","5","105","5","0","115","100","165","150","220","10","10","20","0","0","675","790"
"10007797","University of London (Institutes and activities)","0","95","0","0","95","115","255","245","210","5","20","0","0","0","845","940"
"10004048","London Metropolitan University","0","435","0","0","435","40","140","135","160","0","15","30","5","5","530","965"
"10004078","London South Bank University","5","1,060","50","0","1,115","70","125","395","200","10","20","35","0","0","850","1,970"
"10004063","London School of Economics and Political Science","0","1,720","0","0","1,725","55","580","495","490","120","60","0","0","295","2,100","3,825"
"10007771","London School of Hygiene and Tropical Medicine","0","755","0","0","755","15","365","100","95","10","0","0","0","10","595","1,350"
"10004113","Loughborough University","0","1,560","45","0","1,610","85","275","440","630","265","105","30","10","350","2,185","3,800"
"10004180","The Manchester Metropolitan University","0","2,480","80","0","2,560","115","355","620","575","35","80","15","5","300","2,100","4,655"
"10007798","The University of Manchester","5","5,115","0","0","5,120","90","1,125","1,645","1,710","165","405","150","15","275","5,580","10,700"
"10004351","Middlesex University","10","1,040","5","0","1,055","115","230","175","315","0","25","0","0","0","865","1,920"
"10007799","Newcastle University","25","2,915","40","0","2,980","110","680","590","1,185","75","20","5","0","545","3,210","6,190"
"10007138","The University of Northampton","10","815","0","0","825","50","105","205","195","0","10","20","0","10","595","1,420"
"10001282","University of Northumbria at Newcastle","0","1,420","0","0","1,420","140","370","220","370","10","60","0","5","190","1,365","2,785"
"10004775","Norwich University of the Arts","0","205","0","0","205","10","25","35","35","5","15","0","0","20","145","350"
"10007154","University of Nottingham","0","3,385","10","0","3,395","300","480","1,215","1,230","160","145","5","10","765","4,315","7,705"
"10004797","The Nottingham Trent University","5","2,040","0","0","2,045","90","420","600","685","65","35","30","0","280","2,205","4,255"
"10007773","The Open University","5","5,000","0","0","5,005","1,015","805","85","990","20","0","420","20","25","3,375","8,380"
"10004930","Oxford Brookes University","5","1,380","25","0","1,415","90","310","295","400","40","55","10","15","95","1,305","2,715"
"10007774","The University of Oxford","0","6,615","15","0","6,630","100","2,600","1,335","1,960","170","220","45","25","255","6,715","13,345"
"10005127","Arts University Plymouth","0","130","0","0","135","10","65","45","25","0","0","5","0","25","170","305"
"10007801","University of Plymouth","15","1,250","35","0","1,300","75","245","355","730","20","15","5","5","130","1,585","2,890"
"10007155","The University of Portsmouth","0","1,675","10","0","1,690","115","295","380","585","60","60","110","5","730","2,335","4,025"
"10005337","Queen Margaret University, Edinburgh","0","260","0","0","260","20","50","75","60","0","5","0","0","15","230","490"
"10007775","Queen Mary University of London","0","3,070","25","0","3,095","165","595","490","780","25","25","10","15","275","2,370","5,465"
"10005389","Ravensbourne University London","0","205","0","0","205","10","35","50","35","0","0","0","0","0","130","340"
"10007802","The University of Reading","15","1,775","0","0","1,795","65","500","415","810","90","30","10","5","290","2,220","4,015"
"10005500","Robert Gordon University","0","705","0","0","705","45","85","255","305","10","35","15","5","90","840","1,545"
"10007776","Roehampton University","0","580","15","0","600","15","170","110","570","15","10","0","0","75","960","1,560"
"10005523","Rose Bruford College of Theatre and Performance","5","80","0","0","80","10","5","5","30","0","0","0","0","0","50","130"
"10007835","Royal Academy of Music","0","290","0","0","290","10","40","30","25","10","0","0","0","15","135","425"
"10005545","Royal Agricultural University","0","60","5","0","60","15","25","30","35","20","0","0","0","40","160","220"
"10007777","Royal College of Art","0","170","0","0","175","20","100","40","75","0","0","0","0","10","245","420"
"10007778","Royal College of Music","0","290","0","0","290","15","30","40","45","5","0","0","0","0","145","435"
"10005561","Royal Conservatoire of Scotland","0","325","0","0","325","15","20","45","60","0","5","10","0","25","175","505"
"10007816","The Royal Central School of Speech and Drama","0","75","0","0","75","20","20","15","30","0","5","0","0","0","90","165"
"10005553","Royal Holloway and Bedford New College","0","1,180","5","0","1,185","75","325","215","155","25","10","30","5","60","895","2,080"
"10007837","Royal Northern College of Music","0","310","0","0","310","10","10","50","65","20","10","5","0","5","175","485"
"10007779","The Royal Veterinary College","0","290","5","0","295","25","85","130","180","10","165","5","5","45","655","950"
"10007803","The University of St. Andrews","0","1,175","0","0","1,175","0","405","155","460","135","115","0","0","200","1,470","2,645"
"10007782","St George's, University of London","5","530","5","0","535","75","90","70","175","0","0","5","0","0","415","950"
"10008026","St Mary's University College","0","60","0","0","60","5","5","20","30","5","5","0","0","25","90","155"
"10007843","St Mary's University, Twickenham","0","425","0","0","425","35","10","105","185","55","0","30","0","75","485","910"
"10007156","The University of Salford","5","995","0","0","995","20","235","220","465","25","35","0","0","190","1,195","2,190"
"10007780","SOAS University of London","5","830","0","0","835","40","90","65","265","5","0","0","0","0","460","1,295"
"10005700","SRUC","15","265","15","0","295","115","150","185","290","155","20","5","5","45","975","1,270"
"10005790","Sheffield Hallam University","0","2,025","0","0","2,025","160","730","660","330","45","45","25","5","330","2,330","4,355"
"10007157","The University of Sheffield","0","3,280","0","0","3,280","160","810","1,135","1,140","85","45","50","35","530","3,985","7,265"
"10006022","Solent University","0","695","5","0","705","35","105","205","315","0","60","0","0","0","725","1,430"
"10007158","The University of Southampton","10","2,870","10","0","2,890","195","795","895","960","120","55","25","5","395","3,445","6,335"
"10006299","Staffordshire University","0","865","25","0","895","65","80","170","245","30","45","10","5","40","705","1,595"
"10007804","The University of Stirling","5","970","5","0","980","30","225","315","245","45","65","0","10","210","1,150","2,130"
"10037449","University of St Mark and St John","0","85","0","0","85","10","10","50","75","0","5","5","0","35","195","280"
"10008010","Stranmillis University College","0","50","0","0","50","5","0","15","50","5","5","0","0","50","135","185"
"10007805","The University of Strathclyde","0","1,665","0","0","1,665","135","390","390","615","85","45","5","25","370","2,055","3,720"
"10014001","University of Suffolk","0","190","0","0","190","10","45","80","100","5","15","0","0","0","255","445"
"10007159","The University of Sunderland","0","770","0","0","770","55","90","240","290","15","45","40","5","75","850","1,620"
"10007160","The University of Surrey","10","1,470","5","0","1,480","95","490","400","365","100","50","15","5","210","1,735","3,215"
"10007806","The University of Sussex","0","2,005","5","0","2,010","65","245","405","560","5","25","5","0","0","1,310","3,320"
"10007855","Swansea University","0","1,580","5","0","1,585","115","535","270","740","25","25","45","0","180","1,940","3,525"
"10007161","Teesside University","0","710","0","0","710","60","175","200","385","10","40","0","5","170","1,040","1,750"
"10008017","Trinity Laban Conservatoire of Music and Dance","5","400","0","0","405","30","30","45","60","0","15","5","0","0","180","585"
"10007858","University of Wales Trinity Saint David","40","700","10","0","745","70","145","45","255","100","110","5","0","15","750","1,500"
"10007114","University of the Highlands and Islands","0","75","0","0","75","10","110","35","55","0","0","0","0","0","210","285"
"10007807","Ulster University","10","1,225","30","0","1,265","200","40","295","500","45","35","10","0","30","1,155","2,415"
"10007784","University College London","0","7,675","5","0","7,675","215","1,420","1,325","2,120","45","20","10","5","60","5,225","12,900"
"10007793","University of South Wales","5","1,690","15","0","1,710","40","140","225","460","85","20","5","10","80","1,060","2,775"
"10008574","The University of Wales (central functions)","5","25","5","0","35","5","0","10","35","10","5","0","0","10","80","115"
"10007163","The University of Warwick","0","2,910","0","0","2,910","335","855","785","925","225","155","45","15","650","3,990","6,900"
"10007164","University of the West of England, Bristol","0","1,775","5","0","1,780","60","425","370","865","35","55","15","15","225","2,065","3,840"
"10007800","The University of the West of Scotland","0","595","0","0","600","30","95","240","295","15","25","10","10","170","895","1,495"
"10006566","The University of West London","0","985","5","0","990","45","45","80","190","0","0","40","0","5","405","1,395"
"10007165","The University of Westminster","0","1,605","5","0","1,610","55","235","255","315","10","10","10","15","35","945","2,555"
"10003614","The University of Winchester","0","720","0","0","720","10","150","120","100","40","25","5","0","85","540","1,265"
"10007166","The University of Wolverhampton","0","890","0","0","895","65","255","350","465","50","130","30","10","265","1,620","2,510"
"10007139","University of Worcester","0","905","10","0","915","15","95","190","310","25","30","0","0","1,010","1,675","2,590"
"10007833","Wrexham University","0","210","0","0","215","25","70","70","70","10","10","5","0","5","260","470"
"10007657","Writtle University College","0","105","0","0","105","10","20","35","55","15","20","0","10","20","190","295"
"10007713","York St John University","10","325","5","0","340","25","35","105","195","35","10","0","0","45","450","790"
"10007167","The University of York","0","1,855","0","0","1,860","70","395","590","770","60","25","0","25","340","2,280","4,135"
"","Total","500","209,995","1,475","5","211,980","11,680","44,975","48,625","70,630","6,715","7,000","2,435","1,495","24,030","217,580","429,560"
