﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10030408","Gower College Swansea","10","20","0","30"
"10007146","The University of Greenwich","16,530","13,055","105","29,695"
"10007825","Guildhall School of Music and Drama","505","545","10","1,055"
"10040812","Harper Adams University","3,100","2,255","0","5,360"
"10080811","Hartpury University","1,735","800","0","2,540"
"10007764","Heriot-Watt University","4,165","6,365","140","10,665"
"10007147","University of Hertfordshire","16,390","17,580","280","34,255"
"10007148","The University of Huddersfield","12,010","7,990","35","20,030"
"10007149","The University of Hull","8,730","6,700","145","15,575"
"10003239","ICON College of Technology and Management","805","905","0","1,710"
"10003270","Imperial College of Science, Technology and Medicine","9,770","12,650","0","22,420"
"10003284","Inchbald School of Design Limited","25","5","0","30"
"10057622","The School of Information Risk Management","20","20","0","40"
"10013220","Institute of Art - London Limited","150","20","0","170"
"10067388","The Institute of Ismaili Studies","55","35","0","90"
"10035638","Institute of Contemporary Music Performance","675","1,145","30","1,850"
"10027603","International College of Musical Theatre","40","5","0","45"
"10082728","INTO University Partnerships Limited","30","60","0","95"
"10029682","The Islamic College","75","45","0","120"
"10067601","JSA Education Group Ltd.","85","20","0","105"
"10082570","Kaplan International Colleges U.K. Limited","240","670","0","915"
"10021682","Kaplan Open Learning (Essex) Limited","1,215","555","10","1,775"
"10007767","Keele University","8,530","4,965","30","13,525"
"10007150","The University of Kent","9,405","7,730","60","17,190"
"10003645","King's College London","25,085","14,105","250","39,435"
"10003678","Kingston University","11,320","7,470","40","18,825"
"10003758","LAMDA Limited","235","150","5","390"
"10007768","The University of Lancaster","9,050","9,165","170","18,380"
"10003854","Leeds Arts University","1,570","570","30","2,170"
"10003861","Leeds Beckett University","12,765","11,265","10","24,040"
"10003798","Le Cordon Bleu Limited","280","120","0","395"
"10034449","Leeds Conservatoire","575","800","10","1,385"
"10007795","The University of Leeds","23,125","14,860","110","38,100"
"10003863","Leeds Trinity University","8,130","6,615","15","14,765"
"10082828","College of Legal Practice Limited","510","265","15","795"
"10007796","The University of Leicester","9,780","8,690","10","18,480"
"10089591","LIBF Limited","250","445","5","700"
"10007151","The University of Lincoln","11,635","8,420","130","20,185"
"10036456","Academy of Live Technology Ltd","60","105","0","170"
"10003956","Liverpool Hope University","3,205","1,830","15","5,055"
"10003957","Liverpool John Moores University","15,995","11,175","5","27,170"
"10003945","The Liverpool Institute for Performing Arts","610","440","15","1,065"
"10006842","The University of Liverpool","17,150","13,580","5","30,735"
"10003958","Liverpool School of Tropical Medicine","165","80","0","245"
"10007820","Grŵp Llandrillo Menai","520","310","0","830"
"10007162","University of the Arts, London","17,410","5,295","95","22,800"
"10013109","London Bridge Business Academy","85","60","0","150"
"10007769","London Business School","930","1,260","60","2,255"
"10030391","London Churchill College Ltd","600","725","0","1,325"
"10007797","University of London (Institutes and activities)","1,495","1,740","5","3,240"
"10039082","City and Guilds of London Art School","195","70","5","270"
"10023434","London School of Commerce & IT Limited","0","0","0","0"
"10004036","London Film School Limited","145","165","5","315"
"10015506","The London College","280","535","0","815"
"10004048","London Metropolitan University","9,055","5,630","50","14,730"
"10032594","London School of Academics Ltd","85","65","0","155"
"10004078","London South Bank University","9,200","7,740","25","16,965"
"10004063","London School of Economics and Political Science","7,350","5,520","40","12,910"
"10007771","London School of Hygiene and Tropical Medicine","675","305","0","980"
"10022285","London School of Management Education","460","340","0","795"
"10004075","London School of Theology","120","120","0","240"
"10004079","London Studio Centre","295","20","0","315"
"10062810","The London School of Architecture","65","55","0","120"
"10004035","The Film Education Training Trust Limited","70","80","5","160"
"10067623","The London Interdisciplinary School Ltd","85","60","5","150"
"10004113","Loughborough University","7,725","11,090","10","18,825"
"10009612","Luther King House Educational Trust","35","25","0","55"
"10042679","International Business College Manchester Limited","5","10","0","15"
"10004180","The Manchester Metropolitan University","22,740","16,430","375","39,545"
"10007798","The University of Manchester","26,695","20,165","55","46,915"
"10009527","Istituto Marangoni Limited","1,210","165","30","1,400"
"10023452","The Markfield Institute of Higher Education","55","45","0","100"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","90","20","0","105"
"10020416","Missio Dei","50","50","0","95"
"10030776","St Mellitus College","175","120","0","300"
"10004320","The Metanoia Institute","435","130","10","575"
"10004351","Middlesex University","9,365","6,490","0","15,855"
"10032277","The Minster Centre","120","40","5","165"
"10049370","MLA College","25","85","0","115"
"10004450","Mountview Academy of Theatre Arts","240","170","15","420"
"10023777","Mont Rose College of Management and Sciences","495","395","0","890"
"10023454","Moorlands College","100","80","0","180"
"10055902","Multiverse","2,645","3,920","60","6,625"
"10001444","National Centre for Circus Arts","60","10","5","75"
"10000216","All Nations Christian College","25","25","0","45"
"10004538","Nazarene Theological College","55","80","0","135"
"10030129","Nelson College London Ltd","850","915","10","1,770"
"10023456","Newbold College","20","70","0","90"
"10007799","Newcastle University","14,750","12,825","85","27,660"
"10067406","New Model Institute for Technology and Engineering (NMITE)","15","80","0","100"
"10048199","Northeastern University London","405","425","15","845"
"10008397","Norland College","285","0","0","285"
"10007138","The University of Northampton","10,285","6,115","20","16,420"
"10009614","Grŵp NPTC Group","45","140","0","185"
"10008816","Northern School of Contemporary Dance","210","40","10","260"
"10004740","Northern College of Acupuncture","135","15","0","150"
"10001282","University of Northumbria at Newcastle","16,265","14,330","30","30,625"
"10004775","Norwich University of the Arts","1,885","975","0","2,865"
"10007154","University of Nottingham","20,180","15,850","155","36,180"
"10004797","The Nottingham Trent University","20,910","17,585","60","38,555"
"10007773","The Open University","86,255","46,945","65","133,265"
"10004930","Oxford Brookes University","13,530","9,870","0","23,405"
"10007774","The University of Oxford","14,090","13,045","25","27,160"
"10066143","Paris Dauphine International","100","45","0","150"
"10083464","Peking University HSBC Business School UK Campus","20","20","0","45"
"10004028","The Place, London Contemporary Dance School (LCDS)","215","35","0","250"
"10005127","Arts University Plymouth","785","270","15","1,070"
"10007801","University of Plymouth","11,930","7,255","45","19,230"
"10019178","Point Blank Music School","190","670","0","860"
"10007155","The University of Portsmouth","11,775","12,695","50","24,525"
"10083476","The Prince's Foundation","20","5","0","25"
"10005337","Queen Margaret University, Edinburgh","5,315","1,500","20","6,835"
"10007775","Queen Mary University of London","13,850","12,165","65","26,080"
"10025197","University Centre Quayside Limited","75","90","0","165"
"10009292","Royal Academy of Dramatic Art","110","65","5","180"
"10005544","Royal Academy of Dance","210","5","0","215"
"10005378","Rambert School","105","50","5","160"
"10005389","Ravensbourne University London","2,840","3,670","50","6,555"
"10005470","Richmond, The American International University in London","495","630","50","1,175"
"10007802","The University of Reading","10,425","9,410","405","20,245"
"10086591","Regent's University London Limited","1,455","950","0","2,405"
"10021100","Regents Theological College","60","70","0","135"
"10023871","Results Consortium Limited","325","310","0","635"
"10062833","Raindance Educational Services Limited","15","40","0","55"
"10008455","Regent College London","2,585","2,325","10","4,920"
"10005500","Robert Gordon University","8,765","5,775","50","14,585"
"10007776","Roehampton University","6,860","5,175","15","12,050"
"10005523","Rose Bruford College of Theatre and Performance","530","350","15","895"
"10007835","Royal Academy of Music","405","385","5","795"
"10005545","Royal Agricultural University","520","490","0","1,010"
"10007777","Royal College of Art","2,040","800","10","2,850"
"10007778","Royal College of Music","535","435","5","970"
"10005561","Royal Conservatoire of Scotland","720","475","20","1,220"
"10007816","The Royal Central School of Speech and Drama","645","280","5","930"
"10005553","Royal Holloway and Bedford New College","7,650","5,325","0","12,975"
"10007837","Royal Northern College of Music","410","440","10","860"
"10007779","The Royal Veterinary College","2,115","485","0","2,600"
"10007803","The University of St. Andrews","7,100","4,745","45","11,895"
"10007839","SAE Education Limited","220","545","5","775"
"10007782","St George's, University of London","2,565","1,285","0","3,855"
"10008026","St Mary's University College","770","250","0","1,015"
"10007843","St Mary's University, Twickenham","3,650","3,535","5","7,190"
"10007156","The University of Salford","14,420","11,425","310","26,155"
"10021256","The Salvation Army","30","20","0","50"
"10008362","London School of Science and Technology Limited","120","40","0","160"
"10007780","SOAS University of London","3,945","2,335","0","6,285"
"10005700","SRUC","1,140","625","30","1,795"
"10005790","Sheffield Hallam University","18,310","13,835","90","32,235"
"10007157","The University of Sheffield","16,465","14,545","65","31,070"
"10023458","The Sherwood Psychotherapy Training Institute Limited","185","45","5","240"
"10006022","Solent University","4,365","5,275","10","9,650"
"10007158","The University of Southampton","14,020","11,955","20","25,995"
"10088214","S P Jain London School of Management Limited","15","30","0","45"
"10006093","Spurgeon's College","105","110","0","215"
"10006299","Staffordshire University","9,195","9,790","40","19,030"
"10008098","Study Group","720","1,170","0","1,890"
"10007804","The University of Stirling","7,690","5,145","30","12,865"
"10037449","University of St Mark and St John","1,770","1,080","0","2,850"
"10090767","St Padarn's Institute","115","95","0","210"
"10008010","Stranmillis University College","1,160","265","0","1,425"
"10022944","Stratford College London","20","15","0","40"
"10007805","The University of Strathclyde","12,075","11,070","120","23,265"
