﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007146","The University of Greenwich","203,816,000","159,972,000","18,069,000","7,733,000","185,774,000","196,925,000"
"10007825","Guildhall School of Music and Drama","25,901,000","14,452,000","543,000","9,543,000","24,538,000","26,476,000"
"10040812","Harper Adams University","39,083,000","24,972,000","3,588,000","6,473,000","35,033,000","37,120,000"
"10007764","Heriot-Watt University","219,520,000","142,578,000","46,690,000","14,336,000","203,604,000","216,387,000"
"10007147","University of Hertfordshire","256,557,000","177,779,000","13,319,000","38,749,000","229,847,000","237,026,000"
"10007765","Heythrop College","","","","","",""
"10007148","The University of Huddersfield","162,599,000","137,734,000","13,285,000","10,346,000","161,365,000","138,798,000"
"10007149","The University of Hull","184,828,000","135,373,000","19,625,000","14,697,000","169,695,000","177,416,000"
"10003270","Imperial College of Science, Technology and Medicine","968,442,000","304,207,000","444,816,000","163,349,000","912,372,000","901,523,000"
"10007767","Keele University","148,576,000","82,046,000","24,078,000","24,573,000","130,697,000","144,204,000"
"10007150","The University of Kent","253,783,000","170,634,000","30,737,000","18,168,000","219,539,000","247,671,000"
"10003645","King's College London","738,286,000","321,926,000","258,526,000","113,822,000","694,274,000","714,886,000"
"10003678","Kingston University","209,351,000","171,720,000","6,928,000","10,356,000","189,004,000","208,619,000"
"10007768","The University of Lancaster","267,285,000","140,555,000","57,255,000","34,375,000","232,185,000","255,548,000"
"10003854","Leeds Arts University","15,725,000","15,438,000","0","287,000","15,725,000","13,321,000"
"10003861","Leeds Beckett University","222,118,000","181,025,000","4,870,000","11,187,000","197,082,000","211,936,000"
"10007795","The University of Leeds","636,671,000","331,852,000","171,845,000","78,931,000","582,628,000","623,982,000"
"10003863","Leeds Trinity University","30,967,000","26,645,000","145,000","1,115,000","27,905,000","28,847,000"
"10007796","The University of Leicester","296,252,000","172,978,000","70,750,000","25,159,000","268,887,000","294,737,000"
"10007151","The University of Lincoln","138,627,000","115,689,000","9,408,000","7,227,000","132,324,000","130,898,000"
