﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007148","The University of Huddersfield","8,151,825.744","47,566.000","","17.220","33.677","523.872"
"10007149","The University of Hull","16,628,805.695","208,884.000","164.104","75.638","148.051","8,849.453"
"10003270","Imperial College of Science, Technology and Medicine","75,745,715.581","713,637.000","96.771","281.908","505.255","6,517.919"
"10007767","Keele University","10,008,073.289","290,925.000","2,902.910","100.078","206.403","1,600.180"
"10007150","The University of Kent","14,917,760.787","241,537.367","49.741","87.462","171.008","2,292.175"
"10003645","King's College London","39,012,827.201","329,409.000","59.384","113.317","233.469","2,863.920"
"10003678","Kingston University","10,280,021.884","324,315.000","497.000","111.564","229.615","1,055.760"
"10007768","The University of Lancaster","18,573,216.894","432,017.000","","148.655","306.038","2,302.000"
"10003854","Leeds Arts University","888,012.806","10,260.000","","3.529","7.264","280.280"
"10003861","Leeds Beckett University","11,565,565.911","91,106.901","173.310","32.990","64.667","3,212.548"
"10007795","The University of Leeds","45,523,009.432","664,012.000","288.000","240.027","470.120","2,906.000"
"10003863","Leeds Trinity University","1,951,418.463","32,832.000","","13.297","23.245","167.518"
"10007796","The University of Leicester","26,733,190.177","281,727.540","38,736.320","96.914","199.792","1,774.897"
"10007151","The University of Lincoln","7,965,796.079","61,803.000","28.000","23.623","43.757","19,908.000"
"10003956","Liverpool Hope University","4,133,275.711","67,174.000","8.837","23.107","47.559","118,744.661"
"10003957","Liverpool John Moores University","9,273,796.718","50,915.000","25.467","17.515","36.048","1,446.147"
"10003945","The Liverpool Institute for Performing Arts","823,125.714","5,918.610","","2.036","4.190","85.470"
"10006842","The University of Liverpool","40,956,878.965","320,565.000","39,417.000","110.274","226.960","3,277.020"
"10003958","Liverpool School of Tropical Medicine","1,897,242.953","7,835.920","","3.369","5.548","100.259"
"10007162","University of the Arts, London","9,263,571.137","115,729.000","22.304","39.811","81.936","1,062.123"
"10007769","London Business School","2,862,456.358","38,902.000","","13.382","27.543","379.670"
"10007797","University of London (Institutes and activities)","8,815,605.000","254,519.000","","87.554","180.199","696.830"
"10004048","London Metropolitan University","5,782,146.684","41,162.624","1,247.000","20.009","29.143","723.996"
"10004078","London South Bank University","6,843,198.790","160,211.000","19,071.075","55.113","113.429","949.115"
"10004063","London School of Economics and Political Science","10,948,600.167","211,204.000","270.616","72.768","150.153","13,619.673"
"10007771","London School of Hygiene and Tropical Medicine","3,174,312.187","7,791.000","4.000","7.657","5.516","205.900"
"10004113","Loughborough University","22,220,235.418","336,824.000","78.320","115.868","238.471","2,234.180"
"10004180","The Manchester Metropolitan University","15,779,784.048","225,884.770","39.000","77.714","164.906","6,958.366"
"10007798","The University of Manchester","67,596,582.681","754,314.477","14,668.000","259.484","534.055","22,885.070"
"10004351","Middlesex University","5,926,780.450","40,901.000","8.799","14.070","28.958","419.000"
"10007799","Newcastle University","35,427,599.770","400,526.023","87.000","137.781","283.809","3,183.078"
"10007138","The University of Northampton","6,411,939.424","92,648.700","0.000","35.412","66.041","726.610"
"10001282","University of Northumbria at Newcastle","16,864,530.645","214,852.000","25.882","77.799","153.177","1,288.210"
"10004775","Norwich University of the Arts","845,792.434","5,712.000","","2.103","4.044","216.069"
"10007154","University of Nottingham","55,292,950.883","773,211.000","61.260","295.538","566.195","4,372.620"
"10004797","The Nottingham Trent University","14,013,991.201","132,130.053","21.595","47.845","93.548","1,732.857"
"10007773","The Open University","10,699,090.546","50,078.000","","18.811","35.764","2,259.000"
"10004930","Oxford Brookes University","12,379,799.339","194,809.224","31.781","67.232","138.502","1,409.044"
"10007774","The University of Oxford","62,717,110.779","350,696.700","44.269","151.637","254.602","3,804.675"
"10005127","Arts University Plymouth","818,948.093","5,815.000","","2.000","4.117","9,120.210"
"10007801","University of Plymouth","8,541,718.773","70,338.728","166.844","25.470","50.099","4,253.006"
"10007155","The University of Portsmouth","12,799,787.391","195,823.854","23.016","72.001","138.643","1,102.991"
"10005337","Queen Margaret University, Edinburgh","2,227,822.297","56,379.000","4.509","20.415","39.916","214.711"
"10007775","Queen Mary University of London","22,324,975.697","168,838.000","229.270","87.610","119.537","3,067.247"
"10005389","Ravensbourne University London","1,502,093.025","3,581.710","","1.232","2.536","88.984"
"10007802","The University of Reading","13,606,022.723","171,638.281","18.979","65.985","144.965","1,419.098"
"10005500","Robert Gordon University","8,327,772.180","","77.500","","","990.260"
"10007776","Roehampton University","5,833,597.261","105,139.000","","36.168","74.438","14,617.966"
"10005523","Rose Bruford College of Theatre and Performance","667,207.344","3,416.000","26.000","1.175","2.419","157.500"
"10007835","Royal Academy of Music","761,417.102","4,853.000","","1.669","3.436","96.980"
"10005545","Royal Agricultural University","1,033,048.985","19,176.700","32.300","6.944","13.687","159.760"
"10007777","Royal College of Art","2,241,364.037","21,211.000","8.694","7.297","15.017","513.719"
"10007778","Royal College of Music","946,789.075","6.600","","2.894","0.005","69.000"
