﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10007842","University of Cumbria","5","0","140","800","325","1,265","1,720","185","0","75","440","2,425","3,690"
"10001883","De Montfort University","90","10","700","0","595","1,395","4,010","310","50","0","765","5,135","6,530"
"10007851","University of Derby","10","0","625","300","300","1,235","2,890","130","60","0","880","3,960","5,195"
"10007852","The University of Dundee","155","15","890","140","410","1,610","2,340","0","0","0","215","2,560","4,165"
"10007143","University of Durham","330","65","1,800","265","145","2,605","3,515","0","0","5","255","3,775","6,380"
"10007789","The University of East Anglia","270","10","1,685","280","330","2,580","2,865","140","10","0","595","3,610","6,190"
"10007144","The University of East London","35","25","850","385","615","1,915","3,305","30","0","55","1,680","5,070","6,985"
"10007823","Edge Hill University","5","0","410","485","830","1,730","3,135","150","0","540","560","4,380","6,110"
"10007772","Edinburgh Napier University","35","5","965","0","110","1,120","2,915","0","0","0","480","3,395","4,515"
"10007790","The University of Edinburgh","735","195","3,185","255","640","5,015","4,265","20","0","0","295","4,575","9,590"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","25","0","0","25","25"
"10042570","Escape Studios","0","0","0","0","0","0","15","0","20","0","0","35","35"
"10007791","The University of Essex","230","20","1,240","0","280","1,770","2,540","220","0","30","390","3,180","4,950"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0","0","0","130","0","0","130","130"
"10008229","EThames Graduate School Limited","0","0","0","0","0","0","5","0","0","0","0","5","5"
"10007792","The University of Exeter","340","25","1,475","445","310","2,595","3,915","15","0","0","540","4,470","7,065"
"10008640","Falmouth University","5","0","150","0","20","175","1,050","0","0","0","0","1,050","1,225"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","0","0","90","0","0","90","90"
"10045476","Met Film School Limited","0","0","0","0","0","0","50","0","0","0","40","90","90"
"10004511","The National Film and Television School","0","0","105","0","0","105","0","0","0","0","0","0","105"
"10038763","ForMission Ltd","0","0","0","0","0","0","30","0","0","0","5","35","35"
"10022087","Futureworks","0","0","0","0","0","0","50","0","0","0","10","55","55"
"10007762","Glasgow Caledonian University","50","0","820","0","270","1,140","3,335","0","20","0","835","4,190","5,330"
"10002681","Glasgow School of Art","5","0","210","0","80","300","310","0","0","0","35","345","645"
"10007794","The University of Glasgow","555","65","4,675","315","625","6,235","3,620","0","0","0","305","3,930","10,160"
"10007145","University of Gloucestershire","20","25","170","100","205","520","1,785","145","0","95","485","2,510","3,030"
"10002718","Goldsmiths College","135","5","1,460","245","45","1,895","1,275","0","0","85","45","1,410","3,300"
"10002735","Grafton College","0","0","0","0","0","0","0","0","565","0","0","565","565"
"10007146","The University of Greenwich","40","10","1,155","160","295","1,660","3,965","205","85","215","425","4,900","6,560"
"10007937","GSM London","0","0","0","0","0","0","850","0","0","0","300","1,150","1,150"
"10007825","Guildhall School of Music and Drama","0","0","165","0","15","180","120","0","0","0","10","130","310"
"10040812","Harper Adams University","5","5","60","0","175","245","475","120","0","0","75","675","920"
"10007764","Heriot-Watt University","155","10","1,280","0","190","1,630","1,330","0","0","0","660","1,990","3,625"
"10007147","University of Hertfordshire","80","15","1,160","170","605","2,030","4,470","335","0","10","525","5,345","7,375"
"10007765","Heythrop College","5","0","120","0","15","140","90","0","0","0","5","95","235"
"10042194","Holborn College Limited","0","0","0","0","0","0","10","0","0","0","0","10","10"
"10007148","The University of Huddersfield","105","70","780","160","475","1,595","3,980","20","0","250","865","5,125","6,720"
"10007149","The University of Hull","170","30","765","240","195","1,405","3,355","165","0","0","340","3,860","5,260"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","380","0","0","380","380"
"10003270","Imperial College of Science, Technology and Medicine","810","335","2,985","0","25","4,155","2,295","0","0","0","0","2,295","6,445"
"10007766","Institute of Education","95","15","850","980","385","2,325","70","5","0","105","265","445","2,770"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","165","0","0","0","30","190","190"
"10007767","Keele University","60","10","530","10","340","950","1,845","0","0","5","545","2,395","3,345"
"10003566","Kensington College of Business","0","0","0","0","0","0","25","0","0","0","0","25","25"
"10007150","The University of Kent","175","35","1,305","0","130","1,640","3,945","25","55","0","205","4,230","5,870"
"10003645","King's College London","585","15","3,970","195","875","5,645","4,150","15","0","0","350","4,515","10,155"
"10003678","Kingston University","60","15","1,900","195","490","2,655","4,220","425","50","0","535","5,225","7,885"
"10007768","The University of Lancaster","235","35","1,245","0","205","1,720","2,590","0","0","0","10","2,605","4,325"
"10003854","Leeds Arts University","0","0","15","0","0","15","330","0","0","0","30","360","375"
"10003861","Leeds Beckett University","40","5","835","90","580","1,545","4,575","20","10","0","810","5,410","6,960"
"10007795","The University of Leeds","530","45","2,875","215","465","4,130","6,020","30","0","20","250","6,320","10,450"
"10003863","Leeds Trinity University","0","0","50","200","110","355","860","95","0","0","90","1,040","1,395"
"10007796","The University of Leicester","305","10","2,330","215","305","3,160","2,880","45","0","10","120","3,060","6,215"
"10007151","The University of Lincoln","30","20","545","0","155","750","2,950","30","0","0","160","3,135","3,890"
"10003956","Liverpool Hope University","10","0","180","300","55","545","1,065","15","0","5","155","1,235","1,780"
"10003957","Liverpool John Moores University","90","5","660","195","870","1,820","4,980","70","85","0","1,670","6,800","8,620"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","240","0","0","0","20","255","255"
"10006842","The University of Liverpool","365","120","1,590","0","345","2,420","4,805","0","0","0","330","5,140","7,555"
"10007162","University of the Arts, London","15","0","1,475","0","175","1,665","3,590","580","0","0","440","4,605","6,275"
"10004060","London School of Business and Finance (UK) Limited","0","0","0","0","0","0","0","0","15","0","0","15","15"
"10007769","London Business School","15","0","975","0","0","990","0","0","0","0","0","0","990"
"10030391","London Churchill College Ltd","0","0","0","0","0","0","0","0","200","0","0","200","200"
"10018361","City of London College","0","0","0","0","0","0","0","0","20","0","0","20","20"
"10007797","University of London (Institutes and activities)","10","0","65","0","5","80","0","0","0","0","0","0","80"
"10004006","London Centre of Contemporary Music","0","0","0","0","0","0","55","0","10","0","20","80","80"
"10015506","The London College","0","0","0","0","0","0","70","0","300","0","0","370","370"
"10004048","London Metropolitan University","45","10","695","140","505","1,390","2,720","155","5","50","190","3,125","4,515"
"10032594","London School of Academics Ltd","0","0","0","0","0","0","0","0","0","0","75","75","75"
"10004078","London South Bank University","30","0","975","15","905","1,925","3,080","190","175","10","580","4,035","5,960"
"10004063","London School of Economics and Political Science","205","0","4,410","0","45","4,665","1,220","0","0","0","0","1,220","5,885"
"10007771","London School of Hygiene and Tropical Medicine","90","0","510","0","215","820","0","0","0","0","0","0","820"
"10022285","London School of Management Education","0","0","0","0","0","0","0","0","0","0","65","65","65"
"10004075","London School of Theology","0","0","0","0","0","0","45","0","0","0","10","55","55"
"10004079","London Studio Centre","0","0","0","0","0","0","85","0","0","0","5","90","90"
"10000939","West London College","0","0","0","0","0","0","135","0","0","0","15","150","150"
"10008289","The London Institute of Banking & Finance","0","0","0","10","0","10","85","0","0","0","335","420","430"
"10004113","Loughborough University","290","5","1,465","50","145","1,955","2,880","0","0","0","130","3,015","4,970"
"10004180","The Manchester Metropolitan University","85","20","1,305","720","635","2,765","6,435","90","15","0","665","7,205","9,970"
"10007798","The University of Manchester","945","100","4,425","370","710","6,555","6,755","0","0","0","295","7,050","13,605"
"10020416","Missio Dei","0","0","0","0","0","0","30","0","0","0","0","30","30"
"10030776","St Mellitus College","0","0","0","0","0","0","40","5","0","0","10","50","50"
"10004351","Middlesex University","70","0","1,285","145","470","1,970","4,320","125","0","0","1,145","5,590","7,560"
"10004450","Mountview Academy of Theatre Arts","0","0","0","0","0","0","105","0","0","0","0","105","105"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","0","0","0","0","125","0","0","125","125"
"10023454","Moorlands College","0","0","0","0","0","0","45","0","0","0","0","50","50"
"10004538","Nazarene Theological College","0","0","0","0","0","0","15","0","0","0","5","20","20"
"10030129","Nelson College London Ltd","0","0","0","0","0","0","0","0","295","0","0","295","295"
"10007799","Newcastle University","385","215","2,650","130","395","3,780","4,155","0","0","0","175","4,330","8,110"
"10007138","The University of Northampton","30","0","525","90","300","950","2,810","360","155","10","300","3,640","4,590"
"10004740","Northern College of Acupuncture","0","0","0","0","0","0","30","0","0","0","0","30","30"
"10001282","University of Northumbria at Newcastle","105","5","1,165","235","755","2,265","5,920","15","0","60","950","6,945","9,210"
