﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007159","The University of Sunderland","2020-07-31","37,537","41,340","78,877","1,906","60,970","10,788","4,530","157,071"
"10007160","The University of Surrey","2020-07-31","88,351","33,724","122,075","810","92,042","36,079","13,399","264,405"
"10007806","The University of Sussex","2020-07-31","100,230","42,470","142,700","0","97,982","32,621","9,181","282,484"
"10007855","Swansea University","2020-07-31","80,703","62,664","143,367","5,612","103,306","23,871","8,933","285,089"
"10083403","The Engineering and Design Institute London","2020-07-31","63","2,214","2,277","0","1,780","0","-2,596","1,461"
"10007161","Teesside University","2020-07-31","44,104","49,959","94,063","0","38,499","13,081","1,616","147,259"
"10082743","ThinkSpace Education Limited","2020-07-31","31","126","157","0","333","1","0","491"
"10008017","Trinity Laban Conservatoire of Music and Dance","2020-07-31","9,159","4,378","13,537","0","9,001","1,558","205","24,301"
"10007858","University of Wales Trinity Saint David","2020-07-31","40,244","31,760","72,004","298","60,360","7,981","3,524","144,167"
"10067648","University Academy 92 Limited","2020-07-31","445","1,195","1,640","0","2,518","356","0","4,514"
"10068157","University Centre Peterborough","2020-07-31","1,723","250","1,973","0","1,940","36","0","3,949"
"10007114","University of the Highlands and Islands","2020-07-31","6,247","8,781","15,028","0","129,528","2,212","557","147,325"
"10007807","Ulster University","2020-07-31","77,508","34,083","111,591","0","64,443","17,762","2,808","196,604"
"10039956","The University of Law","2019-11-30","16,958","20,339","37,297","0","40,671","2,733","51","80,752"
"10007784","University College London","2020-07-31","466,691","231,456","698,147","0","528,868","97,500","12,624","1,337,139"
"10007793","University of South Wales","2020-07-31","67,949","50,511","118,460","0","57,126","16,356","7,435","199,377"
"10008574","The University of Wales (central functions)","2020-07-31","553","1,402","1,955","12","1,581","393","96","4,037"
"10007163","The University of Warwick","2020-07-31","147,639","139,744","287,383","0","210,928","48,314","11,124","557,749"
"10007361","Waverley Abbey College","2019-08-31","356","1,324","1,680","0","1,551","68","9","3,308"
"10007164","University of the West of England, Bristol","2020-07-31","93,973","85,249","179,222","0","89,432","26,273","5,625","300,552"
"10007800","The University of the West of Scotland","2020-07-31","49,173","22,215","71,388","2,460","31,280","12,878","6,114","124,120"
"10032288","West Dean College","2019-09-30","609","4,143","4,752","0","6,096","425","89","11,362"
"10006566","The University of West London","2020-07-31","32,646","21,029","53,675","217","42,422","6,063","3,805","106,182"
"10007165","The University of Westminster","2020-07-31","68,661","46,202","114,863","0","62,260","15,503","4,610","197,236"
"10003614","The University of Winchester","2020-07-31","24,203","21,654","45,857","0","26,149","5,095","2,341","79,442"
"10007166","The University of Wolverhampton","2020-07-31","60,007","65,019","125,026","0","44,284","13,966","2,568","185,844"
"10007139","University of Worcester","2020-07-31","29,922","25,884","55,806","0","28,176","4,302","4,307","92,591"
"10007833","Wrexham University","2020-07-31","11,433","11,934","23,367","0","10,607","1,674","977","36,625"
"10007657","Writtle University College","2020-07-31","4,878","5,680","10,558","2","4,969","1,556","355","17,440"
"10007713","York St John University","2020-07-31","20,839","19,648","40,487","0","24,126","3,687","1,116","69,416"
"10007167","The University of York","2020-07-31","87,311","106,222","193,533","0","117,890","32,230","11,098","354,751"
"","Total","","10,764,105","9,193,605","19,957,710","163,660","14,793,972","2,801,972","970,486","38,687,800"
