﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10026921","Christ the Redeemer College","2020-07-31","50","69","119","0","374","15","28","536"
"10001478","City, University of London","2020-07-31","68,957","60,181","129,138","468","69,512","16,218","3,050","218,386"
"10007912","Cliff College","2019-08-31","297","734","1,031","0","1,342","156","8","2,537"
"10001653","Conservatoire for Dance and Drama","2020-07-31","0","582","582","0","13,699","4","0","14,285"
"10007761","Courtauld Institute of Art","2020-07-31","3,221","4,775","7,996","0","10,012","1,413","62","19,483"
"10034324","Court Theatre Training Company Ltd","2019-08-31","76","18","94","0","316","0","1","411"
"10001726","Coventry University","2020-07-31","106,599","111,929","218,528","0","158,788","31,189","13,353","421,858"
"10007822","Cranfield University","2020-07-31","42,122","42,589","84,711","0","78,311","14,814","2,330","180,166"
"10006427","University for the Creative Arts","2020-07-31","14,464","24,648","39,112","297","24,815","3,359","1,063","68,646"
"10007842","University of Cumbria","2020-07-31","21,062","18,714","39,776","580","18,053","3,692","1,236","63,337"
"10015688","David Game College Ltd","2020-01-31","2,336","2,109","4,445","0","5,454","632","279","10,810"
"10001883","De Montfort University","2020-07-31","72,172","65,521","137,693","299","75,183","18,618","7,035","238,828"
"10007851","University of Derby","2020-07-31","57,170","61,977","119,147","3,594","58,189","16,382","3,981","201,293"
"10007852","The University of Dundee","2020-07-31","71,754","55,716","127,470","0","83,691","16,895","2,700","230,756"
"10007143","University of Durham","2020-07-31","114,901","28,276","143,177","0","121,532","27,716","17,236","309,661"
"10007789","The University of East Anglia","2020-07-31","111,248","41,610","152,858","0","94,697","26,703","6,802","281,060"
"10007144","The University of East London","2020-07-31","40,359","42,893","83,252","3,604","128,764","6,895","1,809","224,324"
"10032282","The Queen's Foundation for Ecumenical Theological Education","2019-08-31","588","737","1,325","0","796","277","0","2,398"
"10007823","Edge Hill University","2020-07-31","41,195","37,879","79,074","0","30,543","7,369","3,429","120,415"
"10007772","Edinburgh Napier University","2020-07-31","43,303","38,909","82,212","658","38,814","8,123","1,815","131,622"
"10007790","The University of Edinburgh","2020-07-31","332,822","136,122","468,944","0","380,458","60,930","23,379","933,711"
"10022047","Empire College London Limited","2020-03-31","159","158","317","0","189","8","0","514"
"10042570","Escape Studios","2019-12-31","2,046","3,237","5,283","239","7,379","1,598","952","15,451"
"10007791","The University of Essex","2020-07-31","39,874","64,927","104,801","0","85,996","12,991","6,962","210,750"
"10008173","University College of Estate Management","2020-07-31","4,305","7,460","11,765","133","3,962","309","15","16,184"
"10002313","ESCP Europe Business School","2019-12-31","2,719","3,491","6,210","0","4,806","199","0","11,215"
"10002344","European School of Osteopathy","2019-08-31","896","868","1,764","0","1,079","112","16","2,971"
"10007792","The University of Exeter","2020-07-31","92,024","109,952","201,976","0","147,406","52,845","7,745","409,972"
"10008640","Falmouth University","2020-07-31","12,666","16,254","28,920","0","28,663","3,904","644","62,131"
