﻿Title:,"Table 22 - HE academic staff starters and leavers by HE provider and mode of employment"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-22.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Total academic staff 2013/14 ","Starters","Leavers","Total academic staff 2014/15 "
"10005545","Royal Agricultural University","55","10","5","60"
"10007777","Royal College of Art","175","30","35","175"
"10007778","Royal College of Music","285","20","20","285"
"10005561","Royal Conservatoire of Scotland","265","55","65","260"
"10007816","The Royal Central School of Speech and Drama","70","15","10","70"
"10005553","Royal Holloway and Bedford New College","1,180","250","260","1,170"
"10007837","Royal Northern College of Music","320","25","20","325"
"10007779","The Royal Veterinary College","260","50","35","275"
"10007803","The University of St. Andrews","1,185","175","200","1,160"
"10007782","St George's, University of London","510","65","105","470"
"10008026","St Mary's University College","65","5","5","60"
"10007843","St Mary's University, Twickenham","415","65","100","380"
"10007156","The University of Salford","1,220","300","185","1,335"
"10007780","SOAS University of London","775","190","165","795"
"10005700","SRUC","325","80","60","345"
"10005790","Sheffield Hallam University","2,115","295","255","2,160"
"10007157","The University of Sheffield","2,905","555","375","3,090"
"10006022","Solent University","765","85","110","740"
"10007158","The University of Southampton","2,900","500","405","2,995"
"10006299","Staffordshire University","935","120","75","980"
"10007804","The University of Stirling","1,190","200","450","940"
"10037449","University of St Mark and St John","110","10","15","105"
"10008010","Stranmillis University College","55","5","0","60"
"10007805","The University of Strathclyde","1,355","265","190","1,430"
"10014001","University of Suffolk","190","25","40","175"
"10007159","The University of Sunderland","760","180","135","805"
"10007160","The University of Surrey","1,390","300","275","1,415"
"10007806","The University of Sussex","1,675","370","345","1,705"
"10007855","Swansea University","1,240","270","155","1,360"
"10007161","Teesside University","695","70","70","700"
"10008017","Trinity Laban Conservatoire of Music and Dance","330","20","20","325"
"10007858","University of Wales Trinity Saint David","760","110","170","700"
"10007114","University of the Highlands and Islands","35","10","5","35"
"10007807","Ulster University","1,665","225","220","1,670"
"10007784","University College London","6,195","1,390","985","6,600"
"10007793","University of South Wales","1,770","335","215","1,900"
"10008574","The University of Wales (central functions)","45","5","0","50"
"10007163","The University of Warwick","2,130","795","320","2,600"
"10007164","University of the West of England, Bristol","1,595","245","260","1,580"
"10007800","The University of the West of Scotland","600","75","65","610"
"10006566","The University of West London","705","345","175","875"
"10007165","The University of Westminster","1,360","275","165","1,470"
"10003614","The University of Winchester","555","185","90","645"
"10007166","The University of Wolverhampton","830","70","90","810"
"10007139","University of Worcester","605","120","80","645"
"10007833","Wrexham University","375","50","105","320"
"10007657","Writtle University College","110","15","10","115"
"10007713","York St John University","285","65","35","315"
"10007167","The University of York","1,605","275","205","1,675"
"","Total","194,235","36,855","32,940","198,335"
