﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10022047","Empire College London Limited","2019-03-31","142","157","299","0","171","12","0","482"
"10007791","The University of Essex","2019-07-31","83,719","77,004","160,723","0","94,019","11,744","15,869","282,355"
"10008173","University College of Estate Management","2019-07-31","4,338","7,318","11,656","52","3,985","381","6","16,080"
"10007792","The University of Exeter","2019-07-31","233,743","96,656","330,399","0","142,261","46,323","6,514","525,497"
"10008640","Falmouth University","2019-07-31","11,579","15,603","27,182","0","30,172","3,651","641","61,646"
"10004511","The National Film and Television School","2019-07-31","1,886","4,012","5,898","0","8,220","1,500","248","15,866"
"10042500","Global Banking School Limited","2019-02-28","616","418","1,034","0","2,830","10","14","3,888"
"10007762","Glasgow Caledonian University","2019-07-31","49,952","40,122","90,074","622","34,743","6,089","672","132,200"
"10002681","Glasgow School of Art","2019-07-31","11,627","14,071","25,698","13,386","11,411","1,966","271","52,732"
"10007794","The University of Glasgow","2019-07-31","282,399","181,673","464,072","0","251,211","33,464","8,460","757,207"
"10007145","University of Gloucestershire","2019-07-31","23,519","25,231","48,750","2,158","22,339","6,160","1,679","81,086"
"10002718","Goldsmiths College","2019-07-31","45,410","61,889","107,299","0","39,707","10,084","2,168","159,258"
"10007146","The University of Greenwich","2019-07-31","52,354","50,703","103,057","752","81,471","7,213","7,935","200,428"
"10007825","Guildhall School of Music and Drama","2019-07-31","9,826","11,598","21,424","0","12,671","0","0","34,095"
"10040812","Harper Adams University","2019-07-31","12,596","11,277","23,873","0","14,141","4,250","844","43,108"
"10080811","Hartpury University","2019-07-31","7,940","12,903","20,843","0","13,113","2,409","1,190","37,555"
"10007764","Heriot-Watt University","2019-07-31","54,389","94,626","149,015","0","100,223","12,392","4,273","265,903"
"10007147","University of Hertfordshire","2019-07-31","77,728","68,280","146,008","0","101,377","17,460","3,050","267,895"
"10007148","The University of Huddersfield","2019-07-31","55,550","57,518","113,068","0","48,999","8,289","1,624","171,980"
"10007149","The University of Hull","2019-07-31","59,951","78,390","138,341","3,779","65,940","16,808","2,089","226,957"
"10003270","Imperial College of Science, Technology and Medicine","2019-07-31","395,488","255,717","651,205","2,774","376,340","78,890","20,411","1,129,620"
"10035638","Institute of Contemporary Music Performance","2019-05-31","1,341","2,082","3,423","0","2,507","209","72","6,211"
"10007767","Keele University","2019-07-31","50,225","82,760","132,985","0","59,022","7,852","4,547","204,406"
"10007150","The University of Kent","2019-07-31","80,341","122,882","203,223","6,911","90,584","21,474","4,226","326,418"
"10003645","King's College London","2019-07-31","446,667","232,624","679,291","0","339,403","53,463","17,719","1,089,876"
"10003678","Kingston University","2019-07-31","59,512","51,743","111,255","3,268","59,334","16,345","8,414","198,616"
"10003758","LAMDA Limited","2019-07-31","2,076","3,151","5,227","0","6,555","1,189","189","13,160"
"10007768","The University of Lancaster","2019-07-31","146,060","74,827","220,887","61","106,871","21,091","5,031","353,941"
"10003854","Leeds Arts University","2019-07-31","6,265","5,076","11,341","0","5,917","1,292","160","18,710"
"10003861","Leeds Beckett University","2019-07-31","61,092","69,535","130,627","2,394","59,768","31,857","8,427","233,073"
"10034449","Leeds Conservatoire","2019-07-31","3,394","5,503","8,897","68","4,160","955","197","14,277"
"10007795","The University of Leeds","2019-07-31","310,107","237,706","547,813","0","274,600","56,215","11,243","889,871"
"10003863","Leeds Trinity University","2019-07-31","9,395","11,498","20,893","0","8,723","2,892","685","33,193"
"10007796","The University of Leicester","2019-07-31","132,310","104,311","236,621","0","115,235","21,900","5,514","379,270"
"10007151","The University of Lincoln","2019-07-31","58,919","36,017","94,936","0","57,535","9,069","3,715","165,255"
"10003956","Liverpool Hope University","2019-07-31","15,986","13,908","29,894","0","15,319","4,249","1,176","50,638"
"10003957","Liverpool John Moores University","2019-07-31","83,206","57,228","140,434","0","64,100","9,621","5,646","219,801"
"10003945","The Liverpool Institute for Performing Arts","2019-07-31","3,404","3,624","7,028","0","3,285","805","66","11,184"
"10006842","The University of Liverpool","2019-07-31","235,749","154,381","390,130","0","205,501","38,584","11,088","645,303"
"10003958","Liverpool School of Tropical Medicine","2019-07-31","30,559","19,909","50,468","0","202,072","2,201","175","254,916"
"10007162","University of the Arts, London","2019-07-31","59,721","127,019","186,740","0","114,806","3,553","5,348","310,447"
"10007769","London Business School","2019-07-31","29,469","69,373","98,842","0","66,878","10,908","1,997","178,625"
"10007797","University of London (Institutes and activities)","2019-07-31","8,019","75,224","83,243","0","105,253","5,529","2,603","196,628"
"10023434","London School of Commerce & IT Limited","2019-03-31","40","65","105","0","396","5","0","506"
"10004048","London Metropolitan University","2019-07-31","26,962","27,594","54,556","297","33,162","7,555","2,635","98,205"
"10032594","London School of Academics Ltd","2019-03-31","0","141","141","0","254","5","0","400"
"10004078","London South Bank University","2019-07-31","41,972","48,413","90,385","0","56,455","10,353","4,586","161,779"
"10004063","London School of Economics and Political Science","2019-07-31","144,600","120,209","264,809","0","124,368","13,528","9,016","411,721"
"10007771","London School of Hygiene and Tropical Medicine","2019-07-31","90,824","45,421","136,245","0","122,699","7,887","1,016","267,847"
"10062810","The London School of Architecture","2019-06-30","57","274","331","0","535","9","0","875"
"10008289","The London Institute of Banking & Finance","2019-07-31","577","7,910","8,487","0","9,410","191","0","18,088"
"10004035","The Film Education Training Trust Limited","2019-01-31","147","415","562","0","858","10","2","1,432"
"10004113","Loughborough University","2019-07-31","122,374","98,907","221,281","0","100,868","28,174","5,830","356,153"
"10004180","The Manchester Metropolitan University","2019-07-31","111,390","93,770","205,160","7,870","106,484","14,766","3,986","338,266"
"10007798","The University of Manchester","2019-07-31","315,884","389,637","705,521","7,430","378,674","77,732","23,601","1,192,958"
"10009527","Istituto Marangoni Limited","2019-06-30","1,343","510","1,853","0","2,693","261","0","4,807"
"10020416","Missio Dei","2019-06-30","225","104","329","0","464","1","3","797"
"10030776","St Mellitus College","2019-07-31","480","281","761","0","2,397","3","2","3,163"
"10004351","Middlesex University","2019-07-31","76,842","42,403","119,245","0","68,687","11,601","6,811","206,344"
"10023454","Moorlands College","2019-06-30","769","449","1,218","0","840","117","0","2,175"
"10004538","Nazarene Theological College","2019-06-30","408","451","859","0","593","31","12","1,495"
"10030129","Nelson College London Ltd","2019-07-31","828","1,739","2,567","0","2,464","37","36","5,104"
"10007799","Newcastle University","2019-07-31","260,488","127,269","387,757","0","199,394","28,537","6,246","621,934"
"10048199","Northeastern University London","2019-06-30","1,387","1,336","2,723","0","2,803","6","0","5,532"
"10008397","Norland College","2019-07-31","1,252","1,001","2,253","0","1,709","332","14","4,308"
"10007138","The University of Northampton","2019-07-31","34,656","33,177","67,833","0","50,864","11,784","11,413","141,894"
"10004740","Northern College of Acupuncture","2019-06-30","231","250","481","0","590","7","0","1,078"
"10001282","University of Northumbria at Newcastle","2019-07-31","89,810","76,197","166,007","0","80,218","17,508","5,875","269,608"
"10004775","Norwich University of the Arts","2019-07-31","5,748","5,724","11,472","0","6,420","1,166","239","19,297"
"10007154","University of Nottingham","2019-07-31","326,888","148,441","475,329","0","270,466","41,353","4,852","792,000"
"10004797","The Nottingham Trent University","2019-07-31","95,694","101,549","197,243","0","90,972","20,799","8,195","317,209"
"10010227","Oak Hill College","2019-07-31","3,655","2,166","5,821","0","4,006","1,283","0","11,110"
"10007773","The Open University","2019-07-31","136,615","275,261","411,876","14,345","125,459","6,738","1,766","560,184"
"10004930","Oxford Brookes University","2019-07-31","49,678","62,920","112,598","0","67,651","17,554","8,649","206,452"
"10007774","The University of Oxford","2019-07-31","665,597","671,528","1,337,125","0","1,066,796","145,231","33,087","2,582,239"
"10005127","Arts University Plymouth","2019-07-31","4,588","5,636","10,224","0","5,206","882","359","16,671"
"10007801","University of Plymouth","2019-07-31","75,214","66,560","141,774","15,868","74,867","15,843","6,515","254,867"
"10007155","The University of Portsmouth","2019-07-31","82,026","70,715","152,741","0","71,080","16,524","5,996","246,341"
"10083476","The Prince's Foundation","2019-03-31","1,251","4,713","5,964","0","8,346","2,111","128","16,549"
"10005337","Queen Margaret University, Edinburgh","2019-07-31","13,666","13,046","26,712","0","11,683","5,735","1,432","45,562"
"10007775","Queen Mary University of London","2019-07-31","168,799","169,194","337,993","0","147,971","34,649","6,179","526,792"
"10009292","Royal Academy of Dramatic Art","2019-07-31","2,206","3,385","5,591","0","7,522","779","0","13,892"
"10005544","Royal Academy of Dance","2019-07-31","633","11,882","12,515","0","10,367","616","141","23,639"
"10005389","Ravensbourne University London","2019-07-31","7,156","7,104","14,260","0","10,483","1,527","309","26,579"
"10005470","Richmond, The American International University in London","2019-06-30","6,291","4,745","11,036","0","18,009","793","170","30,008"
"10007802","The University of Reading","2019-07-31","96,528","151,493","248,021","0","107,033","31,100","5,306","391,460"
"10003331","Regent's University London","2019-07-31","10,959","10,662","21,621","0","20,416","2,857","1","44,895"
"10008455","Regent College London","2019-07-31","3,219","2,274","5,493","451","3,339","155","17","9,455"
"10005500","Robert Gordon University","2019-07-31","33,050","29,255","62,305","0","28,917","7,370","1,486","100,078"
"10007776","Roehampton University","2019-07-31","34,919","30,148","65,067","0","64,996","7,709","5,338","143,110"
"10005523","Rose Bruford College of Theatre and Performance","2019-07-31","2,108","2,238","4,346","0","4,685","407","47","9,485"
"10007835","Royal Academy of Music","2019-07-31","6,975","6,050","13,025","0","10,155","1,776","100","25,056"
"10005545","Royal Agricultural University","2019-07-31","4,243","6,071","10,314","0","8,496","934","505","20,249"
"10007777","Royal College of Art","2019-07-31","9,001","15,623","24,624","0","28,546","3,613","132","56,915"
"10007778","Royal College of Music","2019-07-31","6,440","11,274","17,714","0","10,630","1,478","208","30,030"
"10005561","Royal Conservatoire of Scotland","2019-07-31","9,861","8,190","18,051","0","4,805","894","0","23,750"
"10007816","The Royal Central School of Speech and Drama","2019-07-31","5,773","5,427","11,200","0","6,188","1,112","435","18,935"
"10005553","Royal Holloway and Bedford New College","2019-07-31","60,548","72,227","132,775","0","63,396","16,909","10,786","223,866"
"10007837","Royal Northern College of Music","2019-07-31","6,503","6,902","13,405","0","8,084","1,555","294","23,338"
"10007779","The Royal Veterinary College","2019-07-31","23,363","43,535","66,898","0","34,089","6,312","1,311","108,610"
"10007803","The University of St. Andrews","2019-07-31","110,677","67,527","178,204","0","87,324","13,744","5,444","284,716"
"10007839","SAE Education Limited","2019-06-30","2,001","1,278","3,279","0","5,818","730","0","9,827"
"10007782","St George's, University of London","2019-07-31","29,011","33,199","62,210","0","30,404","7,027","2,082","101,723"
"10008026","St Mary's University College","2019-07-31","3,033","3,169","6,202","0","2,190","308","92","8,792"
"10007843","St Mary's University, Twickenham","2019-07-31","13,180","20,800","33,980","0","13,864","4,347","365","52,556"
"10007156","The University of Salford","2019-07-31","58,043","93,221","151,264","0","67,521","14,153","5,162","238,100"
"10021256","The Salvation Army","2019-03-31","205","96,495","96,700","0","124,966","11,758","0","233,424"
"10007780","SOAS University of London","2019-07-31","41,898","34,525","76,423","2,487","27,765","6,327","495","113,497"
"10005700","SRUC","2019-07-31","14,645","31,372","46,017","1,087","27,811","7,850","681","83,446"
"10005790","Sheffield Hallam University","2019-07-31","105,221","91,509","196,730","0","78,079","24,150","5,189","304,148"
"10007157","The University of Sheffield","2019-07-31","302,632","183,240","485,872","0","222,874","93,415","16,413","818,574"
"10006022","Solent University","2019-07-31","27,309","37,287","64,596","0","37,362","7,094","2,860","111,912"
"10007158","The University of Southampton","2019-07-31","239,477","168,896","408,373","0","194,707","34,288","17,319","654,687"
"10006299","Staffordshire University","2019-07-31","29,838","27,329","57,167","0","38,133","10,553","3,101","108,954"
"10007804","The University of Stirling","2019-07-31","41,621","64,290","105,911","0","40,342","8,561","3,060","157,874"
"10037449","University of St Mark and St John","2019-07-31","4,864","6,755","11,619","349","13,009","1,847","1,006","27,830"
