﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","1,110","110","80","160","45","5","50","1,565"
"10007849","Abertay University","105","30","25","45","0","5","5","210"
"10007856","Aberystwyth University","505","70","105","105","25","25","15","850"
"10000291","Anglia Ruskin University","475","200","65","50","5","5","0","805"
"10007759","Aston University","500","65","35","40","5","5","25","675"
"10007857","Bangor University","570","215","60","110","15","10","5","990"
"10000571","Bath Spa University","190","180","80","70","10","5","70","610"
"10007850","The University of Bath","860","60","95","55","10","10","260","1,345"
"10007152","University of Bedfordshire","240","155","90","90","20","5","35","635"
"10005343","Queen's University Belfast","1,300","205","25","180","5","0","0","1,715"
"10007760","Birkbeck College","690","370","45","115","10","0","35","1,270"
"10007140","Birmingham City University","340","575","320","305","45","85","35","1,700"
"10006840","The University of Birmingham","2,320","675","205","345","60","30","0","3,635"
"10000712","University College Birmingham","20","95","55","60","50","15","0","290"
"10007832","Birmingham Newman University","65","25","20","40","5","0","0","160"
"10007811","Bishop Grosseteste University","35","40","10","5","0","0","0","95"
"10006841","The University of Bolton","120","90","60","45","10","5","0","330"
"10000385","The Arts University Bournemouth","20","150","20","115","30","20","0","355"
"10000824","Bournemouth University","500","225","45","120","25","15","0","935"
"10007785","The University of Bradford","400","150","25","45","10","0","0","630"
"10000886","The University of Brighton","735","545","185","195","30","10","110","1,800"
"10007786","The University of Bristol","2,300","320","100","180","10","10","140","3,055"
"10000961","Brunel University London","695","250","35","75","20","10","35","1,130"
"10000975","Buckinghamshire New University","95","220","55","55","25","5","5","465"
"10007787","The University of Buckingham","50","30","5","40","0","0","30","160"
"10007788","The University of Cambridge","2,710","400","135","225","35","15","2,305","5,825"
"10003324","The Institute of Cancer Research","370","65","85","100","15","15","5","655"
"10001143","Canterbury Christ Church University","260","225","120","100","10","5","10","730"
"10007814","Cardiff University","1,810","380","240","220","30","30","705","3,415"
"10007854","Cardiff Metropolitan University","240","190","110","140","10","10","15","715"
"10007141","The University of Central Lancashire","465","350","140","205","5","15","255","1,440"
"10007848","University of Chester","340","225","70","25","5","0","0","670"
"10007137","The University of Chichester","110","170","90","90","35","20","0","515"
"10001478","City, University of London","825","420","365","175","40","35","30","1,895"
"10001653","Conservatoire for Dance and Drama","5","25","75","60","40","30","10","250"
"10007761","Courtauld Institute of Art","35","0","10","0","0","0","0","45"
"10001726","Coventry University","875","505","420","265","65","50","70","2,250"
"10007822","Cranfield University","390","110","70","50","20","20","5","665"
"10006427","University for the Creative Arts","30","115","105","70","25","20","5","370"
"10007842","University of Cumbria","95","200","75","30","5","0","5","405"
"10001883","De Montfort University","420","360","230","155","40","20","80","1,300"
"10007851","University of Derby","315","400","240","195","95","40","0","1,285"
"10007852","The University of Dundee","845","240","60","225","25","65","0","1,465"
"10007143","University of Durham","1,310","245","25","85","15","10","5","1,690"
"10007789","The University of East Anglia","1,035","365","90","195","15","10","35","1,745"
"10007144","The University of East London","325","220","70","85","5","10","175","895"
"10007823","Edge Hill University","255","425","225","115","15","0","5","1,040"
"10007772","Edinburgh Napier University","325","200","135","135","30","15","25","865"
"10007790","The University of Edinburgh","1,955","320","360","320","80","55","1,365","4,455"
"10007791","The University of Essex","600","290","110","65","15","10","105","1,195"
