﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007792","The University of Exeter","1,370","185","80","90","10","20","115","1,870"
"10008640","Falmouth University","55","100","45","45","10","10","0","265"
"10004511","The National Film and Television School","0","5","0","5","0","5","5","15"
"10007762","Glasgow Caledonian University","415","200","65","90","10","5","5","795"
"10002681","Glasgow School of Art","35","65","35","55","10","0","5","200"
"10007794","The University of Glasgow","2,810","120","60","180","5","5","485","3,665"
"10007145","University of Gloucestershire","240","200","100","65","25","0","5","635"
"10002718","Goldsmiths College","425","235","55","80","15","5","180","990"
"10007146","The University of Greenwich","505","340","85","90","10","0","205","1,240"
"10007825","Guildhall School of Music and Drama","40","130","190","175","50","35","0","625"
"10040812","Harper Adams University","70","25","5","40","10","5","0","155"
"10007764","Heriot-Watt University","640","35","10","15","0","0","125","825"
"10007147","University of Hertfordshire","475","545","115","250","20","35","65","1,505"
"10007765","Heythrop College","55","5","5","0","0","0","0","60"
"10007148","The University of Huddersfield","550","240","35","40","0","0","0","870"
"10007149","The University of Hull","680","135","105","90","5","5","5","1,030"
"10003270","Imperial College of Science, Technology and Medicine","3,295","595","65","260","10","10","135","4,370"
"10007767","Keele University","470","120","90","90","15","5","0","800"
"10007150","The University of Kent","875","545","80","345","20","40","85","1,990"
"10003645","King's College London","2,665","1,345","175","385","25","15","105","4,710"
"10003678","Kingston University","520","135","105","55","10","150","60","1,035"
"10007768","The University of Lancaster","1,190","245","210","170","15","45","0","1,880"
"10003854","Leeds Arts University","5","60","45","40","10","0","0","165"
"10003861","Leeds Beckett University","500","470","300","180","25","5","15","1,490"
"10007795","The University of Leeds","2,030","570","45","290","55","225","125","3,345"
"10003863","Leeds Trinity University","60","60","20","15","0","0","0","160"
"10007796","The University of Leicester","1,060","340","5","250","10","35","5","1,715"
"10007151","The University of Lincoln","430","320","65","120","25","20","15","995"
"10003956","Liverpool Hope University","215","50","5","10","0","0","0","280"
"10003957","Liverpool John Moores University","615","395","115","155","30","15","25","1,355"
"10003945","The Liverpool Institute for Performing Arts","0","20","0","25","5","5","5","60"
"10006842","The University of Liverpool","1,840","540","110","275","15","15","35","2,825"
"10003958","Liverpool School of Tropical Medicine","140","65","40","30","10","10","0","295"
"10007162","University of the Arts, London","180","380","380","270","75","55","750","2,085"
"10007769","London Business School","85","0","0","10","0","0","10","105"
"10007797","University of London (Institutes and activities)","65","10","5","0","0","0","0","80"
"10004048","London Metropolitan University","190","195","80","45","10","5","15","545"
"10004078","London South Bank University","195","265","135","60","15","15","250","940"
"10004063","London School of Economics and Political Science","995","450","35","75","0","0","95","1,655"
"10007771","London School of Hygiene and Tropical Medicine","480","215","75","10","0","5","15","795"
"10004113","Loughborough University","1,035","115","115","105","45","20","45","1,480"
"10004180","The Manchester Metropolitan University","800","510","590","370","95","55","25","2,445"
"10007798","The University of Manchester","3,765","555","210","365","40","25","120","5,075"
"10004351","Middlesex University","515","225","125","125","15","5","0","1,010"
"10007799","Newcastle University","1,715","340","25","350","15","170","140","2,750"
"10007138","The University of Northampton","210","305","100","105","25","10","40","790"
"10001282","University of Northumbria at Newcastle","690","400","80","180","5","15","10","1,385"
"10004775","Norwich University of the Arts","15","60","35","45","5","5","0","160"
"10007154","University of Nottingham","2,570","465","100","215","20","20","15","3,410"
"10004797","The Nottingham Trent University","680","380","305","260","25","35","50","1,735"
"10007773","The Open University","2,405","2,050","485","430","75","0","25","5,470"
"10004930","Oxford Brookes University","440","340","125","170","35","20","155","1,285"
"10007774","The University of Oxford","5,295","915","95","550","35","35","25","6,945"
"10005127","Arts University Plymouth","5","30","55","30","10","0","0","135"
"10007801","University of Plymouth","770","215","140","135","25","10","35","1,335"
"10007155","The University of Portsmouth","760","310","260","135","25","20","115","1,625"
"10005337","Queen Margaret University, Edinburgh","85","75","10","35","5","0","55","260"
"10007775","Queen Mary University of London","1,460","310","85","70","15","5","245","2,185"
"10005389","Ravensbourne University London","20","40","75","40","10","10","0","190"
"10007802","The University of Reading","1,030","205","145","80","20","5","205","1,690"
"10005500","Robert Gordon University","235","235","125","100","15","10","5","725"
"10007776","Roehampton University","295","90","45","20","10","5","60","520"
"10005523","Rose Bruford College of Theatre and Performance","10","25","15","20","5","0","0","75"
"10007835","Royal Academy of Music","30","65","20","90","50","10","30","290"
"10005545","Royal Agricultural University","30","15","10","10","0","0","0","60"
"10007777","Royal College of Art","45","100","5","15","5","0","0","165"
"10007778","Royal College of Music","25","45","25","80","60","25","15","280"
"10005561","Royal Conservatoire of Scotland","35","20","90","100","20","20","10","295"
"10007816","The Royal Central School of Speech and Drama","15","0","30","20","0","0","5","70"
"10005553","Royal Holloway and Bedford New College","680","185","95","60","5","35","125","1,185"
"10007837","Royal Northern College of Music","45","80","110","60","25","10","10","335"
"10007779","The Royal Veterinary College","150","25","45","55","5","0","10","295"
"10007803","The University of St. Andrews","965","105","0","75","5","0","10","1,165"
"10007782","St George's, University of London","230","45","50","35","0","45","75","470"
"10008026","St Mary's University College","20","40","0","0","0","0","0","60"
"10007843","St Mary's University, Twickenham","130","135","50","70","5","5","35","430"
"10007156","The University of Salford","395","235","80","110","25","20","60","925"
"10007780","SOAS University of London","305","105","35","25","5","10","285","775"
"10005700","SRUC","120","25","25","30","25","10","110","350"
"10005790","Sheffield Hallam University","695","510","540","165","20","10","135","2,070"
"10007157","The University of Sheffield","2,315","495","60","250","35","15","90","3,255"
"10006022","Solent University","110","215","170","145","80","20","0","750"
"10007158","The University of Southampton","2,050","280","245","160","40","20","200","2,995"
"10006299","Staffordshire University","205","275","80","260","40","25","45","930"
"10007804","The University of Stirling","425","120","145","120","15","30","100","960"
"10037449","University of St Mark and St John","40","40","20","5","0","0","0","110"
"10008010","Stranmillis University College","35","20","0","5","0","0","0","60"
"10007805","The University of Strathclyde","1,005","205","70","95","15","5","80","1,475"
"10014001","University of Suffolk","65","75","25","15","0","0","0","190"
"10007159","The University of Sunderland","215","195","100","85","10","5","195","810"
"10007160","The University of Surrey","905","230","50","110","25","20","0","1,340"
"10007806","The University of Sussex","875","190","30","130","20","30","505","1,785"
"10007855","Swansea University","705","245","55","170","15","65","60","1,320"
"10007161","Teesside University","260","320","100","65","0","0","0","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","25","75","45","105","30","35","30","340"
"10007858","University of Wales Trinity Saint David","125","135","110","55","10","5","210","650"
"10007114","University of the Highlands and Islands","30","5","0","5","0","0","0","40"
"10007807","Ulster University","665","320","65","195","15","5","15","1,280"
"10007784","University College London","4,315","1,005","100","425","25","60","1,290","7,220"
"10007793","University of South Wales","385","485","235","445","100","35","125","1,805"
"10008574","The University of Wales (central functions)","15","10","5","10","5","0","0","50"
"10007163","The University of Warwick","1,850","370","160","140","15","20","175","2,740"
"10007164","University of the West of England, Bristol","710","480","200","190","20","10","5","1,610"
"10007800","The University of the West of Scotland","235","155","80","105","10","0","0","585"
"10006566","The University of West London","180","380","90","170","35","20","0","875"
"10007165","The University of Westminster","510","525","210","170","50","30","175","1,675"
"10003614","The University of Winchester","245","210","95","90","15","20","30","715"
"10007166","The University of Wolverhampton","325","300","95","100","10","0","0","830"
"10007139","University of Worcester","220","295","95","80","10","5","0","705"
"10007833","Wrexham University","75","105","40","35","5","5","5","265"
"10007657","Writtle University College","25","0","40","25","10","10","0","110"
"10007713","York St John University","130","120","25","45","0","5","0","330"
"10007167","The University of York","1,230","275","45","70","5","5","85","1,710"
"","Total","105,880","39,555","16,115","19,450","3,230","2,800","14,740","201,770"
